Statistical profiling result from isolate-0x2691090-v8.log, (15202 ticks, 30 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
     10    0.1%          /lib/x86_64-linux-gnu/libc-2.24.so
      1    0.0%          [vdso]

 [JavaScript]:
   ticks  total  nonlib   name
  14905   98.0%   98.1%  LazyCompile: *./src/index.ts /home/mksim/work/other/programing/front-end/workspace/heroes/dist/main.5213ec79ef8e6b7d564a.js:94:16
      9    0.1%    0.1%  Function: ~./src/index.ts /home/mksim/work/other/programing/front-end/workspace/heroes/dist/main.5213ec79ef8e6b7d564a.js:94:16
      2    0.0%    0.0%  Builtin: InterpreterPushArgsThenCallFunction
      1    0.0%    0.0%  Stub: CEntryStub
      1    0.0%    0.0%  LazyCompile: *getAddressFromArray /home/mksim/work/other/programing/front-end/workspace/heroes/dist/main.5213ec79ef8e6b7d564a.js:280:29
      1    0.0%    0.0%  Function: ~setInt32 /home/mksim/work/other/programing/front-end/workspace/heroes/dist/main.5213ec79ef8e6b7d564a.js:238:18
      1    0.0%    0.0%  Function: ~get4Byte /home/mksim/work/other/programing/front-end/workspace/heroes/dist/main.5213ec79ef8e6b7d564a.js:189:18
      1    0.0%    0.0%  Function: ~NativeModule.require bootstrap_node.js:516:34
      1    0.0%    0.0%  Function: ~GetExistingHash native collection.js:69:25
      1    0.0%    0.0%  Builtin: StringPrototypeCharCodeAt
      1    0.0%    0.0%  Builtin: ObjectCreate
      1    0.0%    0.0%  Builtin: InterpreterPushUndefinedAndArgsThenCall
      1    0.0%    0.0%  Builtin: InterpreterEntryTrampoline
      1    0.0%    0.0%  Builtin: ArgumentsAdaptorTrampoline

 [C++]:
   ticks  total  nonlib   name
     80    0.5%    0.5%  node::(anonymous namespace)::ContextifyScript::New(v8::FunctionCallbackInfo<v8::Value> const&)
     26    0.2%    0.2%  write
      9    0.1%    0.1%  node::Binding(v8::FunctionCallbackInfo<v8::Value> const&)
      4    0.0%    0.0%  __lll_unlock_wake
      4    0.0%    0.0%  _IO_vfprintf
      3    0.0%    0.0%  v8::internal::Heap::AllocateFixedArrayWithFiller(int, v8::internal::PretenureFlag, v8::internal::Object*)
      3    0.0%    0.0%  _IO_default_xsputn
      2    0.0%    0.0%  v8::internal::Scanner::Next()
      2    0.0%    0.0%  v8::internal::ParserBase<v8::internal::Parser>::ParseStatementList(v8::internal::ZoneList<v8::internal::Statement*>*, int, bool, bool*)
      2    0.0%    0.0%  v8::internal::ParserBase<v8::internal::Parser>::ParseStatement(v8::internal::ZoneList<v8::internal::AstRawString const*>*, v8::internal::AllowLabelledFunctionStatement, bool*)
      2    0.0%    0.0%  v8::internal::ParserBase<v8::internal::Parser>::ParseAssignmentExpression(bool, bool*)
      2    0.0%    0.0%  v8::internal::ParserBase<v8::internal::Parser>::ArrowFormalParametersUnexpectedToken()
