Statistical profiling result from isolate-0x3e5a090-v8.log, (13856 ticks, 24 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      9    0.1%          /lib/x86_64-linux-gnu/libc-2.24.so
      1    0.0%          [vdso]
      1    0.0%          /lib/x86_64-linux-gnu/libpthread-2.24.so

 [JavaScript]:
   ticks  total  nonlib   name
  13518   97.6%   97.6%  LazyCompile: *./src/index.ts /home/mksim/work/other/programing/front-end/workspace/heroes/dist/main.6b87ecc84f51c57309da.js:94:16
     12    0.1%    0.1%  Function: ~./src/index.ts /home/mksim/work/other/programing/front-end/workspace/heroes/dist/main.6b87ecc84f51c57309da.js:94:16
      3    0.0%    0.0%  Builtin: InterpreterPushArgsThenCallFunction
      2    0.0%    0.0%  Builtin: InterpreterEntryTrampoline
      1    0.0%    0.0%  Stub: RecordWriteStub
      1    0.0%    0.0%  Stub: CallICStub
      1    0.0%    0.0%  Function: ~setInt32 /home/mksim/work/other/programing/front-end/workspace/heroes/dist/main.6b87ecc84f51c57309da.js:252:18
      1    0.0%    0.0%  Function: ~set4Byte /home/mksim/work/other/programing/front-end/workspace/heroes/dist/main.6b87ecc84f51c57309da.js:207:18
      1    0.0%    0.0%  Function: ~getAddressFromArray /home/mksim/work/other/programing/front-end/workspace/heroes/dist/main.6b87ecc84f51c57309da.js:294:29
      1    0.0%    0.0%  Function: ~emit events.js:156:44
      1    0.0%    0.0%  Function: ~NativeModule.exists bootstrap_node.js:550:33
      1    0.0%    0.0%  Function: ~NativeModule.compile bootstrap_node.js:584:44
      1    0.0%    0.0%  Function: ~GetHash native collection.js:85:17
      1    0.0%    0.0%  Function: ~<anonymous> async_hooks.js:1:11
      1    0.0%    0.0%  Builtin: ArgumentsAdaptorTrampoline

 [C++]:
   ticks  total  nonlib   name
    102    0.7%    0.7%  node::(anonymous namespace)::ContextifyScript::New(v8::FunctionCallbackInfo<v8::Value> const&)
     25    0.2%    0.2%  write
      8    0.1%    0.1%  node::Binding(v8::FunctionCallbackInfo<v8::Value> const&)
      7    0.1%    0.1%  v8::internal::Scavenger::ScavengeObject(v8::internal::HeapObject**, v8::internal::HeapObject*)
      4    0.0%    0.0%  v8::internal::Scanner::Scan()
      4    0.0%    0.0%  __lll_unlock_wake
      3    0.0%    0.0%  v8::internal::compiler::GraphReducer::Reduce(v8::internal::compiler::Node*)
      3    0.0%    0.0%  __lll_lock_wait
      2    0.0%    0.0%  v8::internal::compiler::TopLevelLiveRange::AddUseInterval(v8::internal::compiler::LifetimePosition, v8::internal::compiler::LifetimePosition, v8::internal::Zone*)
      2    0.0%    0.0%  v8::internal::Scavenger::Process()
      2    0.0%    0.0%  v8::internal::Scanner::ScanIdentifierOrKeyword()
      2    0.0%    0.0%  v8::internal::Scanner::Next()
      2    0.0%    0.0%  v8::internal::LookupIterator::State v8::internal::LookupIterator::LookupInRegularHolder<false>(v8::internal::Map*, v8::internal::JSReceiver*) [clone .part.72]
      2    0.0%    0.0%  v8::internal::Logger::CodeCreateEvent(v8::internal::CodeEventListener::LogEventsAndTags, v8::internal::AbstractCode*, char const*)
      2    0.0%    0.0%  v8::internal::DependentCode::MarkCodeForDeoptimization(v8::internal::Isolate*, v8::internal::DependentCode::DependencyGroup)
      2    0.0%    0.0%  v8::base::OS::VSNPrintF(char*, int, char const*, __va_list_tag*)
      2    0.0%    0.0%  strchrnul
      2    0.0%    0.0%  __GI___pthread_mutex_lock
      2    0.0%    0.0%  _IO_vfprintf
      1    0.0%    0.0%  void v8::internal::String::WriteToFlat<unsigned char>(v8::internal::String*, unsigned char*, int, int)
      1    0.0%    0.0%  void v8::internal::Heap::UpdateAllocationSite<(v8::internal::Heap::UpdateAllocationSiteMode)1>(v8::internal::Map*, v8::internal::HeapObject*, v8::base::PointerTemplateHashMapImpl<v8::base::DefaultAllocationPolicy>*)
      1    0.0%    0.0%  void v8::internal::BodyDescriptorBase::IterateBodyImpl<v8::internal::ObjectVisitor>(v8::internal::HeapObject*, int, int, v8::internal::ObjectVisitor*)
      1    0.0%    0.0%  void v8::internal::BodyDescriptorApply<v8::internal::CallIterateBody, void, v8::internal::HeapObject*, int, v8::internal::ObjectVisitor*>(v8::internal::InstanceType, v8::internal::HeapObject*, int, v8::internal::ObjectVisitor*)
      1    0.0%    0.0%  void std::vector<v8::internal::compiler::InstructionOperand, v8::internal::ZoneAllocator<v8::internal::compiler::InstructionOperand> >::_M_emplace_back_aux<v8::internal::compiler::InstructionOperand const&>(v8::internal::compiler::InstructionOperand const&)
      1    0.0%    0.0%  void node::StreamBase::JSMethod<node::LibuvStreamWrap, &(int node::StreamBase::WriteString<(node::encoding)1>(v8::FunctionCallbackInfo<v8::Value> const&))>(v8::FunctionCallbackInfo<v8::Value> const&)
      1    0.0%    0.0%  v8::internal::interpreter::BytecodeRegisterOptimizer::RegisterTransfer(v8::internal::interpreter::BytecodeRegisterOptimizer::RegisterInfo*, v8::internal::interpreter::BytecodeRegisterOptimizer::RegisterInfo*)
      1    0.0%    0.0%  v8::internal::interpreter::BytecodeGenerator::VisitNoStackOverflowCheck(v8::internal::AstNode*)
